cateegory,odia_word,desia_word
ଅ,ଅରମା , ଅନ୍ତରାକୁଡ଼ା
ଅ,ଅଳନ୍ଧୁ , ଅଲଧୂଆଁ 
ଅ,ଅଳି ଅଝଟ , ଗିଜ୍‌ଗିଜା 
ଅ,ଅଳିଆ , କାଚରା 
ଅ,ଅଳସି , ଅଲଚି 
ଅ,ଅଂଶଗ୍ରହଣ , ମିଶ୍‌ବାଟା
ଅ,ଅଶ୍ଵସ୍ତ , ପିପଲ୍‌ ଗଚ୍‌ 
ଅ,ଅସନା , ଆର୍‌ଲା 
ଅ,ଅସମ୍ଭବ , ନାହେବାଟା 
ଅ,ଅସହଯୋଗ , ସାଇଜ୍‌ ନକର୍‌ବାଟା 
ଅ,ସହାୟତା , ଯାକେ ମିଶା ସାହାଯ୍ୟ 
ଅ,ଅସହ୍ୟ , ଅସମାଲ୍‌ 
ଅ,ଅସାମାଜିକ , ଖରାପ 
ଅ,ଅସୁବିଧା , ହରବର୍‌ 
ଅ,ଅସୁମାରି , ଜବର୍‌ କରି 
ଅ,ଅଙ୍କ , ହିସାବ ଗିଣିବାଟା 
ଅ,ଅଙ୍କନ , ଚିତରବାଟା 
ଅ,ଅଙ୍ଗ , ହାତ୍ଗୋଡ଼ 
ଅ,ଅଙ୍ଗ ପ୍ରତ୍ୟଙ୍ଗ , ଗାଗଡ଼ମୁଣ୍ଡ 
ଅ,ଅଣ୍ଟା , ଆଁଟା 
ଅ,ଅଣ୍ଟି , ଅଣ୍ଟିରେ ରେବା
ଅ,ଅଣ୍ଡାଳିବା , ତାମଣ୍ଡବାଟା 
ଅ,ଅନ୍ତର , ମନର୍‌ ଭିତରେ 
ଅ,ଅର୍ଦ୍ଧରାତ୍ରୀ , ମଜାରାତି 
ଅ,ଅର୍ଦ୍ଧେକରୁ ଅଧିକ , ଗୋଟ୍‌ ଭାରାନୁ ବେଶି 
ଆ,ଆଉ , ଅଉରି 
ଆ,ଆଉଟୁ ପାଉଟୁ , ଉଲଟ୍‌ ପାଲଟ୍‌ 
ଆ,ଆଉଁସୁଥୁବା , ସାଆଁଳି ତେରେବା 
ଆ,ଆକ୍ରମଣ , ମାଣ୍ତିଦେଲାୟ 
ଆ,ଆକ୍କୁଂଡ଼ା , ଆକ୍କଂଡ଼ି 
ଆ,ଆଖି , ଆଁକି 
ଆ,ଆଖୁ , ଡାଣ୍ଡା 
ଆ,ଆଗ , ଆଗତୁ 
ଆ,ଆଗପଛ , ଲେଞ୍ଜମୁଣ୍ଡ 
ଆ,ଆଗ୍ରହ , ମନକେ ଯିବାଟା 
ଆ,ଆଚରଣ , ଚାଲିଚଲଣ୍
ଆ,ଆଛା , ହେଲେ 
ଆ,ଆଜିଠାରୁ , ଆଜିଥାନୁ 
ଆ,ଆଡ଼କୁ , ତାରବାଟେ 
ଆ,ଆଣି , ଆନି 
ଆ,ଆଣିଲେ , ଆନ୍ ଲାୟେ 
ଆ,ଆଦର୍ଶ , ମନ କେ ପାଇଲା 
ଆ,ଆଦାୟ , ରୁଣ୍ଡାଇବାଟା 
ଆ,ଅପାର , ନାପି ନା ହେବା 
ଆ,ଆରୋଗ୍ୟ , ରୋଗ୍‌ ଛାତାୟ ହେବାଟା 
ଆ,ଆଶିଷ୍‌ , ମଙ୍ଗଲ 
ଆ,ଆଶ୍ରୟ , ଠେବ୍‌କା 
ଆ,ଆଶ୍ଚର୍ଯ୍ୟ , ଭକୁଆ 
ଆ,ଆସ , ଆସା 
ଆ,ଆସ୍ତେ ଆସ୍ତେ , ଧୀରେ ଧୀରେ 
ଆ,ଆୟୋଜନ , ଯୋଗାଡ଼ଜାଟି କର୍ବାଟା 
ଇ,ଇଷ , ନାଙ୍ଗଲଦାଣ୍ତି
ଇ,ଇଂରେଜ , ଗୋରା ସାହେବ 
ଇ,ଇଗଲ , ଛଞ୍ଚାଣ 
ଉ,ଉଇ , ଉଲମା 
ଉ,ଉଇଁଲା , ବେଲ୍‌ ଉଦ୍ଲା 
ଉ,ଉଙ୍କୁଣି , ଉକ୍ନି 
ଉ,ଉଚ୍ଚ , ଢେପ୍‌ 
ଉ,ଉଚ୍ଚତା , ଡେଙ୍ଗ୍
ଉ,ଉଚ୍ଛନ୍ନ , ଛନ୍ ଛନ୍‌ 
ଉ,ଉତ୍ସବ , ପରବ୍‌ 
ଉ,ଉଠିବୁ , ଉପରକେ ଉଠବୁ 
ଉ,ଉତ୍ତର , ଉତ୍ତର୍‌ 
ଉ,ଉତ୍ତପ୍ତ , ତପ୍ଲା 
ଉ,ଉତ୍ତୋଳନ , ଉଡାଇବା 
ଉ,ଉଦିଆ , ଉଦିଆ 
ଉ,ଉଭିଦ , ଗଛ 
ଉ,ଉଦାର , ମୁକଲାଇବାଟା 
ଉ,ଉପକରଣ , ଜିନିଷ ପତର 
ଉ,ଉପଦେଶ , ବୁଦ୍ଦିର କାତା 
ଉ,ଉପହାର , ପୁରସ୍କାର 
ଉ,ଉପାଡ଼ି , ଝିକ୍‌ବାଟା 
ଉ,ଉର୍ବର , ଉଶାସ୍‌ 
ଉ,ଉର୍ମି , ଢେଉ 
ଉ,ଉରୁ , ଜଂଘସ 
ଉ,ଉଷା , ସାକାଲ 
ଏ,ଉହାଡରୁ , ଆଡ଼କାବାଟେ 
ଏ,ଏକଜୁଟ୍‌ , ଗୋଟେକ୍‌କାତା 
ଏ,ଏକସୂରରେ , ଗୋଟେକ୍‌ ତଣ୍ଡରେ 
ଏ,ଏକଭଳିଆ , ଗୋଟେକ୍ ପାରା 
ଏ,ଏକିହେଲା , କାୟ୍ ହେଲା 
ଏ,ଏଗୁଡ଼ିକ , ଏଟାମନ୍‌ 
ଏ,ଏଣେତେଣେ , ଏନେତେନେ 
ଏ,ଏଥିପାଇଁ , ଇଟାପାଇଁ 
ଏ,ଏଣ୍ଡୁଅ , ଟେଣ୍ଡକା 
ଏ,ଏମିତିକା , ଏନ୍ତିଟା 
ଏ,ଏହାଫଳରେ , ଏଟାପାଇଁ 
ଐ,ଐରାବତ , ହାତୀ 
ଓ,ଓଠ , ଥମ୍ନି 
ଓ,ଓଧ , ବାୟଁକା 
ଓ,ଓଳିରୁ , ଛାନିଠାନୁ/ଅସ୍‌ନା 
ଓ,ଓହଳିବା , ଅଲାଇବାଟା 
କ,କଇଥ , କଇଠ୍‌ 
କ,କଇଁଚି , କତ୍ରାନି 
କ,କଇଁଚ , କଚିମ୍‌ 
କ,କଖାରୁ , ଖାକାରୁ 
କ,କଚାଡ଼ି , ଘସରି ଅଦରି ଗାଲା 
କ,କଞ୍ଚା , କାଚା 
କ,କଜଳପାତି , ଘଲିଆ 
କ,କଟୁରୀ , କଟରା 
କ,କଠିନ , ଆଣ୍ଟୁଆ 
କ,କଡ଼ରେ , ପାଲିକେ 
କ,କଢ , ତୁଣ୍ଡି 
କ,କଣ , କାଇଟା 
କ,କ'ଣ , କଣ/ କାୟଟା 
କ,କଣ୍ଢେଇ , ପୁତଲା 
କ,କଦାପି , କେବେମିଶା 
କ,କଣ୍ଟା , କାଟା 
କ,କଣ୍ଠ , ଶଙ୍ଖନ୍‌ଲା 
କ,କଣ୍ଠରୂଦ୍ଧ , ତଣ୍ଟି ଟିପ୍ଚିପା 
କ,କପୋତ , ପାଣ୍ଡକା 
କ,କମ୍ବଳ , ରାଗୁ/କମଲ୍‌ 
କ,କମ୍ପନ , ଥରଥର୍‌ 
କ,କରଜ , ବାନ୍ଧା ପକାଇବା 
କ,କରୁଣା , ଦୟା/ ଜୀବନ୍‌ ଦୂକାୟବାଟା 
କ,କବାଟ , କପାଟ୍‌ 
କ,କଷଣ , ଦୂକା/ ହର୍ବର୍‌ 
କ,କହ , କୟବାଟା 
କ,କଲମ , ପେନ୍‌ 
କ,କକ୍କଂଡ଼ା , କାକଡ଼ା 
କ,କାକୁଡ଼ି , କାକ୍ଡି 
କ,କାର୍ତ୍ତିକ , ଦିଆଲି ମାସ୍‌ 
କ,କାନଫୁଲ , କାନ୍‌ଫୁଲ୍‌ 
କ,କାଣ୍ଡ , ଖେନ୍ଦା 
କ,କାନ୍ଦୁଲ , କାନ୍ଦୁଲ୍‌ 
କ,କାମୁଡ଼ି , ଚାବ୍ବାଟା 
କ,କାମୁଡ଼ିଦେଲା , ଚାବିଦେଲା
କ,କାଳକାଳ , ଯୁଗ୍‌ ଯୁଗ୍‌ 
କ,କାହାଣୀ , କାତାନୀ 
କ,କିଛିକ୍ଷଣ , ଛନେକ୍ ପାରା 
କ,କିଛି ବାଟ୍‌ , ଖଣ୍ଡେକ୍‌ ଦୂର୍‌ 
କ,କେଉଁଠୁ , କନ୍ଥାନୁ 
କ,କେଉଁଥ୍‌ରେ , କାୟଟାଲଗେ 
କ,କେତୋଟି , କେତ୍ଟା 
କ,କେଉଁଠିକି , କନ୍ତି 
କ,କେବଳ , ଅବ୍କା 
କ,କୋଇଲି , କୁମାଟି 
କ,କୋକିଶିଆଳ , କେଣ୍ତରା/କଲିଆ 
କ,କଠୋର ସାଧନ , ବେଶି କଷ୍ଟ 
କ,କୌଶଳ , ଚାଲାକ୍‌ 
କ,କୃମି , କୁର୍ମିକିଡ଼ା / କେଚୁଆ 
କ,କୃଷକ , ଚାଷୀ 
କ,କୃଷ୍ଣପକ୍ଷ , ଆନ୍ଦାର୍‌ ଦିନ୍‌ 
କ,କ୍ରମରେ , ସରଲଂଗା 
କ,କ୍ଲେଶ , ଦୁକା 
କ,କିଣାବିକା , ଘେନାଚିନା 
କ,କିରଣ , ତାରାସ୍‌ 
କ,କୁଆଡ଼େ , କନ୍‌ବାଟେ 
କ,କୁଣ୍ଡାଇବା , ଖଜାଇବା 
କ,କୂଦା , ଡିଆଁ 
କ,କୂଳ , ବଂଶ 
ଖ,ଖଇ , ଫୂଲାଲିଆ 
ଖ,ଖର୍ଚ୍ଚ , ଖରଚ୍‌ 
ଖ,ଖଜୁରୀ , ଖାଜରୀ / ଖଜ୍‌ରୀ 
ଖ,ଖଟ , ଖାଟ୍‌ / ଖଟ୍‌ 
ଖ,ଖଡ଼ି , ଖଡ଼ି 
ଖ,ଖଟା , ଆମ୍‌ଲି 
ଖ,ଖମ୍ବଆଳୁ , ଲଙ୍ଗଲକାନ୍ଦା 
ଖ,ଖରା , ଖାରା 
ଖ,ଖବର , ଖବର୍‌ 
ଖ,ଖସଡ଼ା , ବିଚଲ୍‌ 
ଖ,ଖସିଗଲା , ଖସରିଗାଲା 
ଖ,ଖାଦ୍ୟ , ଖାଦି 
ଖ,ଖୁଡ଼ି , ନିନିମା 
ଖ,ଖୁସି , ସାର୍ଦା 
ଖ,ଖେଳ , ଖେଲ୍‌ ପଡ଼ିଆ 
ଖ,ଖେଳନା , ଖେଲ୍ବାଟା 
ଖ,ଖୋଳ , ଖପ୍ରି 
ଖ,ଖୋଲିଦିଅ , ମେଲାକରିଦିଆ 
ଗ,ଗଛଡାଳୁ , ଗଛ୍‌ ଡାଳନୁ 
ଗ,ଗଠନ୍‌ , ବନାୟବାଟା 
ଗ,ପଡ଼ିଆ , ନାଲ୍‌/ ବନ୍ଦ 
ଗ,ଗାଧୁଆ ପାଧୁଆ , ପାନି ଆଇବାଟା 
ଗ,ଗନ୍ଧ , ବାସ୍ନା/ ଗନ୍ଧ 
ଗ,ଗଞ୍ଜା , କୁକୁଡ଼ା ଗାଞ୍ଜା 
ଗ,ଗଣ୍ଠି , ଗଟି 
ଗ,ଗୋରୀ , ପାଣ୍ଡରୀ 
ଗ,ଗହନ ବନ , ଜବର କମନ୍‌ 
ଗ,ଗାତ , ବିଲ୍‌ 
ଗ,ଗାଡ଼ିଆ , ଡବ୍ରା 
ଗ,ଗାଣ୍ଡିଆ , ପୁଡ଼ା 
ଗ,ଗାମୁଛା , ଗାମ୍ଗ୍‌ 
ଗ,ଗ୍ରୀଷ୍ମ , ଖାରା 
ଗ,ଗୁଳୁଗୁଳି , ଘୁମଘୁମା 
ଗ,ଗୁହାରି , ଗୁଆରବାର୍‌ 
ଗ,ଗେଣ୍ଡା , ଗୁଲି 
ଗ,ଗୋଧ୍‌ , ଗିର୍ନା 
ଗ,ଗୋପାଳକ , ଗାୟଗଉଡ଼୍‌ 
ଗ,ଗୋଦାମ୍‌  ଗୁଦାମ୍‌ , ଗୁଦାମ୍‌ ଘରେ ଚାଉଲ୍‌ ସଙ୍ଗାୟ୍ବାୟ୍‌ |
ଗ,ଗ୍ରନ୍ଛ , ବଡ଼ବହି 
ଘ,ଘଟ , ପାତ୍ଲି 
ଘ,ଘାଇ , ଇଟାନ୍‌ 
ଘ,ଘାଇଲା , କାବ୍ରା 
ଘ,ଘୋଷାରି , ଅରଗଡ଼ି ନେବାଟା 
ଚ,ଚକିପେଷା , ଯାତା 
ଚ,ଚଟୁ , ଚାଟୁ 
ଚ,ଚଳପ୍ରଚଳ , ଠହିଣ୍ଡାଚୁଲା 
ଚ,ଗ୍ନଉଳ , ଚାଉଳ୍‌ 
ଚ,ଚାକର , କାବାଡ଼ି /ଗତି 
ଚ,ଚାଖୁଛି , ଚାକ୍ଲାନି 
ଚ,ଚ୍ରଖଣ୍ଡ , ବିତା 
ଚ,ଚନ୍ଦ , ଜନ୍‌ 
ଚ,ଚାବୁକ , କର୍ଡ଼ା 
ଚ,ଚିଙ୍ଗୁଡ଼ି , ଚିଙ୍ଗଡ଼ି 
ଚ,ଚିରା , ଫାଟଲା 
ଚ,ଚୂନାମାଛ , ଗୁଣ୍ଡମାଛ 
ଚ,ଚେତା , ହେତୁ 
ଛ,ଛଛତୁ , ଛାତି 
ଜ,ଜଜାଳ , ଜୟଧେରାଯେବା ଦାରୁ 
ଝ,ଝିଝିପିଝିପି , ବୁରିପାନି 
ଝ,ଝୁଣ୍ଢଡି ପଡ଼ିବା , ଝଟାଇବା 
ଟ,ଟୋପି , ଟୋପ୍ରି 
ଠ,ଠାବ୍‌ , ଖଜ୍ବାଟା 
ଠ,ଠେକୁଆ , ଖାଡ଼ା 
ଡ,ଡକି , ଅନ୍କା 
ଡ,ଡରିଗଲା , ଡରିଗାଲା 
ଡ,ଡାମ୍ପଣ , ଢାପନ୍‌ 
ତ,ତଉଲିଆ , ତୂଆଲ୍‌ 
ତ,ତରଳଝାଡ଼ା , ପାନିଆବନ୍ଦାଡ଼ି 
ତ,ତଲୱର୍‌ , ଖାଣ୍ଡା 
ତ,ତାପରଠୁ , ତାର୍ପଚେ 
ତ,ତେରଛା , ବାକ୍ଟି/ ଟେତାମେଡ଼ା 
ତ,ତୋରଣ , ମାଲା 
ତ,ତୋରାଣୀ , ତୁରାନୀପାନି 
ତ,ତୃଣଭୋଜୀ , ଘାସ୍‌ଖାଉ 
ତ,ତୁରୀ , ମଉରୀ 
ଥ,ଥକି , ଧାକି 
ଥ,ଥଳି , ମୁନା 
ଦ,ଦରିଆରେ , ସମ୍‌ଦୁର ଲଗେ 
ଦ,ଦର୍ଶନ , ଦେଖ୍ବାଟା 
ଦ,ଦାଆ , ଇଲା 
ଦ,ଦୁଇପ୍ରାନ୍ତ , ଦୁଇଛେଦେ 
ଦ,ଦୁଇଫାଳ , ଦୁଇଫାଡ଼ା 
ଦ,ଦୁଧ , କ୍ଷୀର/ଗରସ୍‌ 
ଦ,ଦେଶ , ଦେଶ 
ନ,ନଅ  ,ନ
ନ,ନଡ଼ିଆ , ନଡ଼ିଆ 
ନ,ନଣନ୍ଦ , ନନଦ 
ନ,ନଷ୍ଟକରିବା , ନସ୍‌ 
ନ,ନାହିଁ କରିବା , ନାଇଁକର୍‌ 
ନ,ନାଏକାଣୀ , ନାଇକାନି 
ନ,ନାମ , ନୀଓ 
ନ,ନାକ , ନାକ୍‌ 
ନ,ନାକ ଦଣ୍ଡା , ଦଣ୍ଡା 
ନ,ନାକୁଆ , ନାକ୍ଟି 
ନ,ନାଗସାପ , ନାଗ୍‌ 
ନ,ନାଗେଶ୍ଵରୀଂବାଦ୍ୟ, ନାଗ୍‌ସେରି
ନ,ନୃତ୍ୟନାଚ , ନାଟ 
ନ,ନାତି , ନାତି 
ନ,ନାତୁଣୀବୋହୂ , ନାତିଆନି 
ନ,ନନା , ନାନା
ନ,ନାଭି/ ନାହି/ନାଡ଼ି , ନାବ୍‌
ନ,ନାଳ , ନାଲ୍‌
ନ,ନିମନ୍ତ୍ରଣ , ନିଉତା
ନ,ନିଜେ/ନିଜର/ନିଜେ , ନିଜ୍‌
ନ,ନିଦା , ନିଦା
ନ,ନିନ୍ଦା , ନିନ୍ଦା
ନ,ନିଲିୟା , ନୀଳ
ନ,ନିସ୍ତେଜ , ନିସ୍ବତାୟି
ନ,ନିଶୁଣି , ନିସନି ଡାଙ୍‌
ନ,ନୂଆଁ , ନୁଆ
ନ,ନିଅ , ନେଂ
ପ,ପାଉଁଜି , ପଉଁରି
ପ,ପାଚିବା ପଚିବା , ପକ
ପ,ପରି , ପଳି
ପ,ପଛ , ପଚ
ପ,ପଛ ଭାଗ (ଘରର), ପଚା
ପ,ପହଞ୍ଚୁବା , ପଚ୍‌
ପ,ପେଟ , ପଟା
ପ,ପାଣିରେ ତିନ୍ତି ନଷ୍ଟ ହେବା , ପଟମ୍‌
ପ,ପୌଷମାସ , ପଡ଼୍‌
ପ,ପଣ୍ଡିତିଆ , ପଣିତ-କରିଯା
ପ,ପଢ଼ , ପଡ଼୍‌
ପ,ପତ୍ରପୃଷ୍ଠା , ପତର୍‌
ପ,ପାପୁଲି , ପଦମ୍‌
ପ,ପାପୁଲିଏ (ଜିନିଷ), ପଦମେକ
ପ,ପନ୍ଦର , ପଦର୍‌
ପ,ପଣସ , ପନସ
ପ,ପବିତ୍ର , ପବିତ୍‌
ପ,ପରଲୋକ , ପର୍‌
ପ,ପହଁରିବା , ପର୍‌
ପ,ପରବର୍ଷ , ପରୁ
,ତେଲ ଓ ମସଲା , ପରଝିଜା
ପ,ପରିବା କାଟିବା , ପଲ୍‌
ପ,ପରିବା କାଟିବା , ପମ୍‌
ପ,ପ୍ରବାଳ ପୋହଳା , ପଲା
ପ,ପଳଖା , ପଲ୍କା
ପ,ପାଇବା , ପା
ପ,ସେନିକ , ପାଇକ୍‌
ପ,ପାଦ/ ପାହୁଲ , ପାଉ/ପାଉଲା
ପ,ପ୍ରହରି/ ଜଗୁଆଳି , ପାଉରା
ପ,ପାଖରେ , ପାକ
ପ,ପାଖୁଡ଼ା , ପାକ୍ଡ଼ା
ପ,ପଥର , ପଗଡ଼ି
ପ,ପାକୁଳି କରିବା , ପାଗଲ୍‌
ପ,ପାଟିବା , ପାଚ୍‌
ପ,ପାଞ୍ଚ , ପଚ୍‌
ପ,ପାଞ୍ଚିବା , ପୀଚ୍‌
ପ,ପଗରିବା , ପାଚାର୍‌
ପ,ପତଳାବସ୍କପାଞ୍ଚି , ପୀଚିଆ
ପ,ଧାର କରିବା , ପାଜାଇ
ପ,ପାଞ୍ଜ , ପୀଜି-ପତର୍‌
ପ,ପଞ୍ଚରା , ପାଜ୍୍‌ରା
ପ,ପଠେଇବା , ପାଟାଇ
ପ,ପଟା/ମହି , ପାଟା
ପ,ପଟା , ପାଟିଆ
ପ,ପଡ଼ିଆ ଜମି , ପଡ଼ିଆ-ପଦା
ପ,ପତଳା , ପାତଲ୍‌
ପ,ପାଦ , ପାଦ୍‌
ପ,ପକ୍ଷୀ ଧରିବା ଫାସ , ପୀଦ୍‌
ପ,ପାଣି ବର୍ଷା , ପାନି
ପ,ପାନିଆ , ପାନିଆ
ପ,ପାପ , ପାପ୍‌
ପ,ପାହାଡ଼ , ପାବ୍ଲି
ପ,ପାରିବା , ପାର୍‌
ପ,ପରି , ପାରା
ପ,ପାଲାଇ , ପାରା
ପ,ପାଲାଇ , ପଳେଇବା
ପ,ପାଳି , ପାଲି
ପ,ପାଲ୍‌ଟା ଦେବାର , ପାଲ୍‌ଟୁ
ପ,ପାଳଧୂଆ , ପାଲଦା
ପ,ପଛକୁ ଗ୍ବହିଁବା , ପାସ୍‌ଲିଦେକ୍‌
ପ,ପିଚକାର , ପିଚକାନଲା
ପ,ପାଗଳ , ପିଚାସି ବାଯା
ପ,ପିଟ୍‌ , ପିଟିବା
ପ,ପିଟଣା , ପିଟଣା
ପ,ପିଭ/ପିଉରସ , ପିତ୍‌
ପ,ପିତଳ , ପିତଲ
ପ,ପିତୃପୁରୁଷ ଆସ୍ଫାାନ, ପିଦର୍‌
ପ,ପିନ୍ଧିବା , ପିଦ୍‌
ପ,ପ୍ଲୀହା , ପିରା
ପ,ପୁଆ , ପିଲ୍କା
ପ,ପିଲା/ଶିଶୁ , ପିଲା
ପ,ପୋଛିବା , ପୁଚ୍‌
ପ,ପୂଜକ , ପୂଜାରି
ପ,ପୂଜ , ପୁଜ୍‌
ପ,ପୁଡ଼ିଆ , ପୁଡଗା
ପ,ପ୍ରବେଶ କରିବା , ପୁର୍‌
ପ,ପୁରାଇବା , ପୁରାଇ
ପ,ପୂର୍ଣ୍ଣ , ପୁରନ୍‌
ପ,ପୁରୁଣା , ପୁର୍ନା
ପ,ପଦ୍ମ , ପୁରନି
ପ,ପୁଷମାସ , ପୁସ୍‌
ପ,ପେଜ/ଜାଉ , ପେଜ୍‌
ପ,ପେଟ , ପେଟ୍‌
ପ,ପେଣ୍ଡା , ପେଣ୍ଡା
ପ,ପିତୁଆ , ପେଣି
ପ,ପଠେଇବା , ପେସ୍‌
ପ,ପେଷଣ , ପେସନ୍‌
ପ,ପାଚିବା/ ପରିପକ୍‌ , ପୋକ୍ତା
ପ,ପୋଡ଼ିବାନଜାଳିବା , ପୋତ୍‌
ପ,ପୋଥୁ , ପୋତି
ପ,ପୋଷିବା , ପୋସ୍‌
ପ,ପୋଷ୍ଯପୁତ୍ର , ପୋସୁଆ ପୋ
ବ,ବଳା , ବଇଟା
ବ,ବଧ୍‌ର , ବଇରା
ବ,ବୈଶାଖ , ବଇସାକ୍‌
ବ,ବାଘୁଆ ମାଛି , ବାଗ୍‌
ବ,ବଗ , ବକ୍‌
ବ,ଗଛଛେଲି/ବକଳ , ବକୁଲ୍‌
ବ,ପରିହାସ କରିବା , ବକର୍‌
ବ,ବୁକୁଚ୍‌ , ବଚକା
ବ,ବଢ଼େଇବା , ବଡ଼
ବ,ବୟସ୍କ ବଡ଼ , ବଡ଼
ବ,ବରଗଛ , ବଡ ଗାଚ୍‌
ବ,ବଡ଼ବାପା , ବଡ଼୍‌
ବ,ବୋଡ଼ା ସାପ , ବଡ଼-ସାପ୍‌
ବ,ବନ୍‌ସୀ , ବଡସି
ବ,ପରି/ବତ୍‌ , ବତର୍‌
ବ,ବତର , ବତର୍‌
ବ,ବଦଳେଇବା , ବଦଲ୍‌
ବ,ବ୍ରଣ , ବରଟ୍‌
ବ,ଦଉଡ଼ି/ବ୍ରତ , ବରତ୍‌
ବ,ବହିଯିବା/ଭାସିଯିବା, ବଲ୍‌
ବ,ବିପଦପୂର୍ଣ୍ଣ , ବୟି
ବ,ବସ୍‌ , ବସିବା
ବ,ବାଇଗଣ ,  ବାଇଗନ୍‌
ବ,ବାହାରିଆ , ବାଉରି
ବ,ବାଉଁଶ , ବାଁଉସ୍‌
ବ,ବଙ୍କା , ବାଁକ୍‌/ବୀକ୍ଟି
ବ,ବଙ୍କାଇବା , ବାକାଇ
ବ,ବଖରା , ବାକା
ବ,ବାଘ , ବାଗ୍‌
ବ,ବାଘ ଉପଦ୍ରବ , ବାଗାଇ
ବ,ଫଟା , ବାଗ୍‌ରା
ବ,ବିସ୍ତାର କରିବା , ବାଗଲାଇ
ବ,ବାଛିବା , ବାଚ୍‌
ବ,ବାଛି ବାହାର , ବାଚଲି
ବ,ବାଛୁରି , ବାଗ୍‌
ବ,ବାଜା ବଜାଇବା , ବାଜ୍‌
ଭ,ଭଲ , ନିକ
ଭ,ଭଉଣୀ , ଭଇନୀ
