odia_word,desia_word,desia_sentence
ଅତି ଦରକାରୀ , ବେଶିଲୋଡା , ଆଜିକାଲି ପାଠ୍‌ ପଢ୍‌ବାଟା ବେଶିଲୋଡ଼ା।
ଅତ୍ୟନ୍ତ , ବଡ଼େଜବର୍‌ , ସେ ବଡ଼େ ଜବର କାଆଲିଆ ପଡ଼ଲା ଆଟେ |
ଅତ୍ୟାଚାର , ଦଣ୍ଡ , ବ୍ରିଟିସ୍‌ ମନ୍‌ ଆଗତୁ ବଡ଼େ ତଣ୍ଡଦେତେ ରେଲାଯେ |
ଅଥଚ , ଏଟାହେଲେ ମିଶା , ଏଟା ହେଲେ ମିଶା ତୁଇ ମିଚ କାତା ନାକଅ |
ଅଦଳ ବଦଳ , ବାଦଲ ଉଦଲ୍‌ , ପଦ୍ଲାମ୍‌ ତାର ବଲଦକେ ବାଦଲ୍‌ ଉଦଲ କର୍ଲା |
ଅଦାଲତ୍‌ , କରଟ୍‌ବାଟ୍‌ , ମାଡ୍ଗଲ୍‌ ହେଲେ କରଟ୍‌ ବାଟଗଲେ ଜବର୍‌ ଡାବୁକାଷୁ ଲାଗ୍‌ସି।
ଅଧିର , ଥିରନାହିଁ , ତା'ର କାଇକାଜେ ଥର ଲାଗେ ନାହିଁ |
ଅନାଥ , ଟୂରା , ତାକେ ବାବା ମାଆ ନାଇଁ ଟୁରାଟା |
ଅନାଅ , ଦେଖ୍ବାଟା , ସେ ନାଟ୍ଦେଖ୍ବାକେ ଗାଲା ଆଚେ |
ଅନ୍ୟ , ଭିନ ଲୋକ , ଆମର୍‌ ଗାଯେ ଭିନ୍‌ ଭିନ୍‌ ଜାତିର୍‌ ଲୋକ ମନ୍‌ ଆଚତ୍‌ |
ଅନ୍ୟଦ୍ଵାରା , ଭିନ୍ନଲୋକ୍‌ ଦ୍ଵାରା , ଇକାମ୍‌ ଭିନ୍‌ ଲୋକ ଲାଗି କରାଯାଇସି।
ଅନ୍ୟମନସ୍କ , ଏନେ ତେନେ ଭାବଟା , ତୁଇ ଏନେ ତେନେ ନାଭାବ୍‌ |
ଅନ୍ୟମାନେ , ଭିନ୍‌ଲୋକ ମନ୍‌ , ଭିନ୍‌ ଲୋକ୍‌ ମନର କାତା ଦେଖବାକେ ପଡ଼ସି।
ଅନ୍ୟୁନ , ଉନାରେ , ନାଟ୍‌ ଦେଖ୍ବାକେ ଉନାରେ ପାଞ୍ଚଟା ଗାଉଁର୍‌ ଲୋକ ରୁଣ୍ଡିରେଲାଯ୍‌।
ଅନୁଭବ , ମନେଚିତାଇବାଟା , ରାମ ତାର୍‌ ଭୂଲ୍‌ କାମ୍‌କେ ମନେ ଚିଭାଇଲା ଆଚେ।
ଅନୁଯାୟୀ , ଅନୁସାରେ , ମୁଇଁ କର୍ବା ଅନୁସାରେ ତୁଇ କାମ୍କର୍‌ |
ଅନୁରୋଧ , ଖୁସାମତୀ , ତାକେ ଯେତ୍କି ଖୁସାମତି କଲେ ମିସା କାଇଟା ନାହେ |
ଅନୁଷ୍ଠାନ , ଅନୁଷ୍ଠାନ୍ , ଲୋକ୍ମନ ଜିଉନା ଖାଉନା କାଜେ କେତେକ ଅନୁଷ୍ଠାନ ମନ୍‌ କାମ୍‌ କର୍ଲେନି |
ଅନୁଷ୍ଠିତ , ହେଇରେଦାଟା , ଆମର୍‌ ଗାର୍ୟେ ନୂଆଁ ଡାକର୍‌ ଘର୍‌ ତିଆର୍‌ ହେଲା |
ଅନେଇଥିବା , ଜଗିରେଇସି , ମୁଇଁ ଜିବାର୍‌ ଆଚେ ସେ ମୋକେ ଜାଗିରେଇସି |
ଅନେକ ଗୁଡ଼ିଏ , ଜବର୍‌ , ୯ ଆୟା ଗାଡ଼େ ଜାଇ କରି ଜବର୍‌ ମାଛ ଧରି ଆନଲା |
ଅପକାର , ନସାଇବା , କାକେ ନସାଇବା କାତା ତୂଇ କେବେ ନାଭାବ୍‌ |
ଅପରପାର୍ଶ୍ଵରେ , ଉଲଟାବାଟେ , ସିପାଲ ସଡ଼କର ଉଲଟାବାଟେ ଗାଲେ ଇସୁୁଲ୍‌ ଆଚେ |
ଅପରାଧ , ଖରାପ ଧାନ୍ଦା , ସନ୍ଯାସି ଖରାପ୍‌ ଧାନ୍ଦା କରି ଜେଲ୍‌ ଗାଲା |
ଅପରାହ୍ନ , ଆଡ଼ବେଲା , ଆଡ଼ ବେଲାକେ ଚୁଆ ହାଟେ ଜାଇସି |
ଅବସ୍ଥିତ , ଆଚେ , ଆମର୍‌ ଗୀର ମଜାଏ ଗୋଟେକ୍‌ ପୋଷ୍ଟ ଅଫିସ୍‌ ଆଚେ |
ଅବଶିଷ୍ଟ , ଊବର୍‌ଲାଟା , ଉବର୍ଲାଟା ତୁଇ ଖାଇଦେସ୍‌ |
ଅବଶ୍ଯ , ଯେନତି ହେଲେ ମିଶା , ଯେନ୍ତି ହେଲେ ମିଶା ତୁଇ ସିତି ଯିବାର ଆଚେ |
ଅଭିଭାବକ , ବୁଆଆୟା , ମାଷ୍ଟର୍‌ ଆଜ୍ଞା ଆୟା ବୂଆ ମନ୍କେ ଡାକି ମିଟିଙ୍କ କର୍ଲା |
ଅଭ୍ୟାସ , ଅଭିୟାସ୍‌ , ଅଭିୟାସ୍‌ କାଇଟା କାମ୍‌ ମିଶା କରିହେଇସି |
ଅମର , ନାମରବାଟା ," ସହିଦ ଲକ୍ଷଣ ନାୟକ, ଦେଶ୍ପାଇଁ ଜୀବନ ଦେଇ କରି ଏବେ ମିଶା ବଞ୍ଚ୍‌କରି ଆଚେ ।"
ଅମ୍ଳ , ଆମଟି , କାଚା ଆମ୍‌ ଜବର୍‌ ଖାଇଲେ ଆମ୍ଟି ଲାଗ୍‌ସି |
ଅମୃତ , ଅମରୁତ୍‌ ,  ଅମ୍ରୁତ୍‌ ବଡ଼େ ସୁଆଦ ଲାଗ୍ସି |
ଅମୃତଭଣ୍ଡା , ଅମୃତମାଣ୍ଡା ,"  ଅମୃତ୍ମାଣ୍ଡା କାଇଲେ ଗାଗଡ଼, ନିକ୍‌ ରେଇସି |"
ଅମଙ୍ଗ , ରାଜି ନାହେବାଟା , ସେ ମୋର୍‌ କାତାକେ ରାଜି ନାହେଲା।
ଅଯଥା , କାଇକାରନ୍‌ନାରେସ , ମଧୁ କାଇକାରନ୍ନାରେସ୍‌ ଜବର୍‌ ରିଷା ହେଲାନି
ଅର୍ଥ , ଡାବୁ , ଡାବୁ ପାଇଁ ତୂଇ ନାଭାବ୍‌ କାମ୍‌ କର୍‌ |
ଅରମା , ଅନ୍ତରାକୁଡ଼ା,  ଘର୍‌ ଚାରିପାଖେ ଅନ୍ତରାକୁଡ଼ା ହେଲେ ମାଛି ମନ୍‌ ବାସା କର୍୍‌ବାଯେ |
ଅଳନ୍ଧୁ , ଅଲଧୂଆଁ ,  ଘର୍‌ ଭିତ୍ରେ ଜବର୍‌ ଅଲଧୂଆଁ ଆଚେ |
ଅଳି ଅଝଟ , ଗିଜ୍‌ଗିଜା , ଟକି ବଡ଼େ ଗିଜ୍‌ ଗଜା ହେଲାନି ।
ଅଳିଆ , କାଚରା ,  କାଚ୍ରାକେ ଇଚିସିତି ବା ଫିଙ୍ଗିକରି ଖାଲେ ଫିଙ୍ଗଲେ ଡ଼ଉଲ୍‌ ହେଇସି।
ଅଳସି , ଅଲଚି ,  ପୁଷ୍ମାସେ ଅଲଟି ଫୁଲ୍‌ ଫୂଟସି |
ଅଂଶଗ୍ରହଣ , ମିଶ୍‌ବାଟା,
ଅଶ୍ଵସ୍ତ , ପିପଲ୍‌ ଗଚ୍‌ ,  ଆମର୍‌ ଗାର୍‌ ପାଲିକେ ଗଟେକ ପିପଲ୍‌ ଗଛ ଆଚୋ
ଅସନା , ଆର୍‌ଲା ,  ପେଣ୍ଟ୍‌ କାମିଜ୍‌ ଆର୍‌ଲା ରଖ୍‌ଲେ ରୋଗ୍‌ ହେଇସି |
ଅସମ୍ଭବ , ନାହେବାଟା ,  ତୁଇ କଇବା କାତା କେବେ ନାହେ |
ଅସହଯୋଗ , ସାଇଜ୍‌ ନକର୍‌ବାଟା , ଗାନ୍ଧୀ ମାପ୍ ବ୍ରିଟିସ ମନ୍‌କେ ସାଇଜ୍‌ ନକର୍‌ବାକେ ଆନ୍ଦୋଲନ୍‌ କରିରେଲାଯ୍‌।
ସହାୟତା , ଯାକେ ମିଶା ସାହାଯ୍ୟ , ଯାକେ ନାରେୟତ୍‌ ତାକେ ସାହାଯ୍ୟ କର୍ବା କାତା।
ଅସହ୍ୟ , ଅସମାଲ୍‌ ,  ବ୍ରିଟିସ୍‌ ସର୍କାରର୍‌ ଶାସନ୍‌ ଅସମାଲ୍‌ ହେଲା |
ଅସାମାଜିକ , ଖରାପ ,  ଖାରାପ୍‌ ଲୋକକେ କେବେ ବିଶ୍ଵାସ୍‌ ନା କର୍ବାର |
ଅସୁବିଧା , ହରବର୍‌ ,  ସେ ବଡ଼େ ହର୍କର୍‌ ହେଲାନି |
ଅସୁମାରି , ଜବର୍‌ କରି ,  ସାହୁକାରର୍‌ ଜବର୍‌ ବେଡ଼ାଖୁଡ଼ା ଆଚେ |
ଅଙ୍କ , ହିସାବ ଗିଣିବାଟା ,  ଡାବୁ ଗନ୍ଲା ବେଲେ ନିମାନ୍‌ କରି ଗନ୍ବାର୍‌ |
ଅଙ୍କନ , ଚିତରବାଟା ,  ରାମ୍‌ ବଡ଼େ ସୁନ୍ଦର୍‌ ଚିତର୍‌ କର୍‌ସି।
ଅଙ୍ଗ , ହାତ୍ଗୋଡ଼ ,  ତାର୍‌ ଅଙ୍ଗ ଗଟେକ୍‌ ଜବର୍‌ ଜୁକା ହେଲାନି |
ଅଙ୍ଗ ପ୍ରତ୍ୟଙ୍ଗ , ଗାଗଡ଼ମୁଣ୍ଡ ,"  ରତନର୍‌ ଗାଗଡ଼ ମୁଣ୍ଡ, ବପୁ ନାଇଁ |"
ଅଣ୍ଟା , ଆଁଟା ,  ତାର୍‌ ଆଟା ସରୁ ଆଟେ |
ଅଣ୍ଟି , ଅଣ୍ଟିରେ ରେବା, ମାଇଁଜି ମନ୍‌ ଅଣିରେ ଗଣ୍ଠିଥାନେ ଡାବୁ ସଙ୍ଗାଇବାଯ୍‌ |
ଅଣ୍ଡାଳିବା , ତାମଣ୍ଡବାଟା , ତୁଇ ଆନ୍ଦାରେ କାଇଟା ତାମଣ୍ତଲୁସ୍ନି |
ଅନ୍ତର , ମନର୍‌ ଭିତରେ , ଚମା ତାର୍‌ ମନ୍‌ ଭିତ୍ରର୍‌ କାତା କଇଦେଲା |
ଅର୍ଦ୍ଧରାତ୍ରୀ , ମଜାରାତି ,  ମଜାରାତି ଚୋର୍‌ ମନ୍‌ ବୁଲ୍ତେ ରେବାୟ୍‌ |
ଅର୍ଦ୍ଧେକରୁ ଅଧିକ , ଗୋଟ୍‌ ଭାରାନୁ ବେଶି , ତାକେ ଗୋଟ୍‌ ଭାଗ୍ନୁ ବେଶି ମାଉସ୍‌ ଦେଲି |
ଆଉ , ଅଉରି ,  ସେ ଆଉରି ମୁଇଁ ଭାତ ଖାଇବୁ |
ଆଉଟୁ ପାଉଟୁ , ଉଲଟ୍‌ ପାଲଟ୍‌ , ସେ ଜବର୍‌ ଖାଇ କରି ଉଲଟ୍‌ ପାଲଟ୍‌ ହେଲାନି |
ଆଉଁସୁଥୁବା , ସାଆଁଳି ତେରେବା ,  ତୁଇ ତାର୍‌ ମୁଣ୍ଡକେ ସାଆଁଲତେ ରଅ |
ଆକ୍ରମଣ , ମାଣ୍ତିଦେଲାୟ , କାଙ୍ଗାରମନ ସଂଜୟକେ ବାଟେ ଖେଦି ନେଲାୟେ ।
ଆକ୍କୁଂଡ଼ା , ଆକ୍କଂଡ଼ି ,  ଆୟା ଆକଡ଼ି ସଙ୍ଗେ ମୁନ୍‌ଗା ତଲ୍ଲାନି |
ଆଖି , ଆଁକି , ଆଁକି ଥାନୁ ପାନି ବର୍୍‌ଲେ ବେଶି ଡାକ୍ତରକେ ଦେଖାଇବାର୍‌।
ଆଖୁ , ଡାଣ୍ଡା , ଡାଣ୍ଡା ରସ୍‌ ଖାରା ବେଲେ ବଡ଼େ ସୁଅଆଦ୍‌ ଲାଗ୍‌ସି
ଆଗ , ଆଗତୁ , ତୁଇ ଆଗତୁ ଯାଇ ରା |
ଆଗପଛ , ଲେଞ୍ଜମୁଣ୍ଡ , ଗାୟ୍‌ ଆରି ବାଚି ଲେଞ୍ଜ ମୁଣ୍ଡ ହେଇ କରି ହିଣ୍ଡଲାୟନି ।
ଆଗ୍ରହ , ମନକେ ଯିବାଟା ,  ମୋକେ ତୋର୍‌ ସାଇକେଲ କେ ମନ୍କେ ଗାଲା |
ଆଚରଣ , ଚାଲିଚଲଣ୍, ଡଉଲ୍‌ ପିଲାମନର୍‌ ଚାଲିଚଲଣ ନିମାନ୍‌ ରେଇସି |
ଆଛା , ହେଲେ , ହେଲେ ତୁଇ ଆମର ଗାଉଁ ନାଆସୁସ୍‌ |
ଆଜିଠାରୁ , ଆଜିଥାନୁ , ଆଜିଥାନୁ ପିଲାମନ ଇସୁଲେ ଗାଲାଯ୍ନି |
ଆଡ଼କୁ , ତାରବାଟେ , ତାର ବାଟେ ମୁଇଁ ଯିବାର୍‌ ଆଚେ |
ଆଣି , ଆନି , କଟା ପିଲାକେ ଆନି କରି ଲୋକ୍‌ ମନ୍‌ ଖମ୍‌ନେ ଛାଡ଼ି ଦେଲାଯ୍‌ |
ଆଣିଲେ , ଆନ୍ ଲାୟେ , ଆମର୍‌ ଘରେ ଗୋଟେକ୍‌ ଛେଲି ଘେନି କରି ଆନ୍‌ଲାଯ୍‌।
ଆଦର୍ଶ , ମନ କେ ପାଇଲା , ପାରା ପିଲାକେ ମନ୍କେ ପାଇଲା ପାରା କାମ୍‌ କର୍ବାର୍‌।|
ଆଦାୟ , ରୁଣ୍ଡାଇବାଟା , ମୁଇଁ ଭୂତେକ୍‌ ଡାଚୁ ରଣ୍ଡାଇଲା ଆଚି |
ଅପାର , ନାପି ନା ହେବା , ରାଜାକେ ନାପି ନା ହେଲା ପାରା ଆନ ସମ୍ପଭି ଆଚୋ।
ଆରୋଗ୍ୟ , ରୋଗ୍‌ ଛାତାୟ ହେବାଟା , ରୋଗ୍‌ ହେଲେ ଓଷ ପତର୍‌ ଖାଇଲେ ରୋଗ୍‌ ଛାଡ୍‌ସି।
ଆଶିଷ୍‌ , ମଙ୍ଗଲ , ମାପୁ ତକେ ବେଶି ବେଶି ମଙ୍ଗଲ କରତ୍‌ |
ଆଶ୍ରୟ , ଠେବ୍‌କା ,  ଖମନ୍‌ ଥାନେ ଗୋଟେକ୍‌ ବାରିଆ ଠେବଲା ଆଗୋ |
ଆଶ୍ଚର୍ଯ୍ୟ , ଭକୁଆ , ବାଘ୍କେ ଦେଖ୍‌ ସବୁ ଲୋକ୍‌ ଭକୂଆ ହେଇଗାଲାଯେ।
ଆସ , ଆସା , ଗଣେଶ ପୂଜା ହେଲାନି ଦେଖ୍ବାକେ ଆସା |
ଆସ୍ତେ ଆସ୍ତେ , ଧୀରେ ଧୀରେ , ଡାଇବର ଗାଡ଼ି ଧୀରେ ଧୀରେ ଗଲାଯ୍ଲାନି |
ଆୟୋଜନ , ଯୋଗାଡ଼ଜାଟି କର୍ବାଟା , ଭଜି ଭାତ ଆଚେ ଜିନିଷ୍‌ ପତର୍‌ ଯୋଗାଡ଼୍‌ କର୍ବା|
ଇଷ , ନାଙ୍ଗଲଦାଣ୍ତି, ନାଙ୍ଗଲ୍‌ ଦାଣି ନା ରେଲେ ହଲ୍‌ କରି ନାହେ |
ଇଂରେଜ , ଗୋରା ସାହେବ , ଆମର୍‌ ଦେଶ୍କେ ଗୋରା ସାହେବ ମନ୍‌ ଚଲାଇତେ ରେଲାଯ୍‌।
ଇଗଲ , ଛଞ୍ଚାଣ ,  କୁକ୍ଡ଼ା ଚିଆଁକେ ଚଞ୍ଚାଣ୍‌ ବେଟି ନେଇଁସି |
ଉଇ , ଉଲମା , କୁକୁଡ଼ା ଟିଅଁମନ ଉଲମା ଖାଇଲେ ସରି ନାମରତ୍‌ |
ଉଇଁଲା , ବେଲ୍‌ ଉଦ୍ଲା ," ବେଲ୍‌ ଉଦ୍ଲା ବେଲେ, ବେଲ୍‌କେ ଦେଖ୍‌ଲେ ଆଖୁ ଖରାପ୍‌ ହେଇସି |"
ଉଙ୍କୁଣି , ଉକ୍ନି , ମୁଣ୍ଡେ ଉବ୍‌କା ଉକନି ରେଲେ ମୁଣ୍ଡର ବନି ରୁଇଁବାୟେ |
ଉଚ୍ଚ , ଢେପ୍‌ ,  ଆମର୍‌ କୋରାପୁଟ କେପ୍‌ ଥାନେ ଆଚେ |
ଉଚ୍ଚତା , ଡେଙ୍ଗ୍, ନାଡ଼ିଆ ଗଛ ଡେଙ୍ଗ ଆଚେ |
ଉଚ୍ଛନ୍ନ , ଛନ୍ ଛନ୍‌ , ପିଲା ମାମା ଘରେ ଯିବାକେ ଛନ୍‌ ଛନ୍‌ ହେଲାନି |
ଉତ୍ସବ , ପରବ୍‌ ," ଆମର୍‌ ବଡ଼ ପରବ୍‌ ହେଲାନି, ପୁଷ ଆରି ଚଇତ୍‌ ପରବ୍‌।"
ଉଠିବୁ , ଉପରକେ ଉଠବୁ ,  ସର୍କାର୍‌ ଆଦିବାସୀ ମନ୍କେ ଉପରକେ ଉଠ୍ବାକେ କେତେକ୍‌ ଯୋଜନା କଲାନି |
ଉତ୍ତର , ଉତ୍ତର୍‌ , ଆମର୍‌ ଗାଉଁର୍‌ ଉଉଭର୍‌ ଦିଗେ ଥାନା ଆଚେ |
ଉତ୍ତପ୍ତ , ତପ୍ଲା , ଖାରା ହେଲେ ନଦୀର ବାଲି ତପ୍‌ସି |
ଉତ୍ତୋଳନ , ଉଡାଇବା ,  ଅଗଷ୍ଟ ୧୫ କେ ଆମେ ପତ୍କା ଉଡ଼ାଇବୁ ଆଚୁ |
ଉଦିଆ , ଉଦିଆ , ଅମାବାସ୍ୟା ଗାଲାକେ ଏବେ ଉଦିଆ ମାସ୍‌ ଆଇଲା|
ଉଭିଦ , ଗଛ ,  ଗଛ କୁଟା କାଟିଲେ ସରି ପାନି ନାମାରେ |
ଉଦାର , ମୁକଲାଇବାଟା , ପାରୁଆ ମନ୍‌ ଜାଲ୍‌ ଭିତର୍‌ ଥାନୁ ମୁକିଲ୍ଲାୟେ |
ଉପକରଣ , ଜିନିଷ ପତର ,  ଆମର୍‌ ଘରେ ଜବର୍‌ ଜିନିଷ୍‌ ପତର୍‌ ଆଚେ |
ଉପଦେଶ , ବୁଦ୍ଦିର କାତା ,  ମୋକେ ବୁଦିର କାତା କୟ୍ବା ଲୋକ୍‌ ଗୋଟେକ୍‌ ମିଶା ନାଇଁ |
ଉପହାର , ପୁରସ୍କାର , ପରିକ୍ଷା ଲଗେ ପାସ୍‌ କର୍ଲାକେ ମୋକେ ବାବା ସାଇକେଲ୍‌ ଗୋଟେକ୍‌ ପୁରସ୍କାର ଦେଲା ।
ଉପାଡ଼ି , ଝିକ୍‌ବାଟା , ଲାଟା ଚୂଟାକେ ଝିକି କରି ପଦାୟେ ଫିଙ୍ଗି ଦେଲେ ମଛି ନାବସତ୍‌ |
ଉର୍ବର , ଉଶାସ୍‌ ,  ଗବର୍‌ ଖତ୍‌ ବେଢ଼ା ଥାନେ ଦେଲେ ବେଡ଼ା ଉସାସ୍‌ ରେଇସି।
ଉର୍ମି , ଢେଉ , ସମୁଦ୍ର ଢେଉ ଦେଖଲେ ଜବର୍‌ ଡର୍‌ ଲାଗ୍‌ସି |
ଉରୁ , ଜଂଘସ ,  ମୋକେ ଆଜି ଜଂଘସ ଥାନୁ ବଡ଼େ ଦୂକା ହେଲାନି |
ଉଷା , ସାକାଲ , ସାକାଲ୍‌ ସାକାଲ୍‌ ଉଠ୍ଲେ ଗାଗତଡ଼୍‌ ପାଇଁ ବଡ଼େ ସୁନ୍ଦର୍‌ |
ଉହାଡରୁ , ଆଡ଼କାବାଟେ , କୂକଡ଼ାକେ ଦେଖ୍‌ କରି କଲିଆ ଲାଟା ଥାନେ ଆଡ଼୍‌କା ହେଲା ଆଚେ।
ଏକଜୁଟ୍‌ , ଗୋଟେକ୍‌କାତା , ସବୁ ଲୋକ୍‌ ଗୋଟେକ୍‌ କାତା ହେଇ କରି କାମ୍‌ କର୍ବାର୍‌।
ଏକସୂରରେ , ଗୋଟେକ୍‌ ତଣ୍ଡରେ ,  ସବୁ ଲୋକ୍‌ ଗୋଟେକ୍‌ ତଣ୍ତ ନେ କଇଲେ ସବୁ କାମ୍‌ ହୋଇସି।
ଏକଭଳିଆ , ଗୋଟେକ୍ ପାରା , ଲବ କୁଶ ଦୁଇ ଭାଇ ଗୋଟେକ୍‌ ପାରା ରେବାୟ୍‌ |
ଏକିହେଲା , କାୟ୍ ହେଲା , ସିତି କାଏ ହେଲା କେତେକ୍‌ ଲୋକ ରୁଣ୍ଲା ଆଚତ୍‌ |
ଏଗୁଡ଼ିକ , ଏଟାମନ୍‌ ,  ଏଟାମନ୍‌ କି କର୍‌ ବାୟେ |
ଏଣେତେଣେ , ଏନେତେନେ ,  ତୁଇ ଏନେ ତେନେ କାଇ କାଜେ ହିଣି ଗାଲୁସ୍‌ନି |
ଏଥିପାଇଁ , ଇଟାପାଇଁ ,  ଇଟାପାଇଁ ତକେ ମୁଇଁ କଯ୍ତେ ରେଲି |
ଏଣ୍ଡୁଅ , ଟେଣ୍ଡକା , ଟେଣ୍ଡକା ମୁଣ୍ଡ ରଂଗ୍‌ ରେସି |
ଏମିତିକା , ଏନ୍ତିଟା , ତୁଇ ଏନ୍‌ତିଟା ବୋଲି ମୁଇ ନାଜାନି ରେଲି |
ଏହାଫଳରେ , ଏଟାପାଇଁ ,  ଏଟାପାଇଁ ସେ ମୋକେ କୟ୍ତେ ରେଲା |
ଐରାବତ , ହାତୀ , ଇନ୍ଦର୍‌ ରାଜାର୍‌ ହାତୀର୍‌ ନାଉଁ ଏଁରାବତ |
ଓଠ , ଥମ୍ନି , ତାର୍‌ ଥମନି ବଡ଼େ ରଙ୍ଗ ଆଚେ |
ଓଧ , ବାୟଁକା ,  ବାୟକା କୁକଡ଼ା ଧରି ଖାଇସି |
ଓଳିରୁ , ଛାନିଠାନୁ/ଅସ୍‌ନା , ଅସ୍‌ନା ଥାନୁ ପାନି ଝରିଗାଲାନି।
ଓହଳିବା , ଅଲାଇବାଟା , ଖୁଣ୍ଢି ତାବେ ଛନା ଅଲାଇଲା ଆଟେ |
କଇଥ , କଇଠ୍‌ ,  କଇଠ୍‌ ଗଛେ କୃଷ୍ଠ ମାପର ଅସୁର ମନକେ ମାର୍ତେ ରେଲାଯେ |
କଇଁଚି , କତ୍ରାନି ,"  କତ୍ରାନି ଲଗେ କପଡ଼ାକେ କାଟିକରି ଚେଡ଼ି, କାମିଜ ସିଲାୟବାର୍‌ ହେଇସି।"
କଇଁଚ , କଚିମ୍‌ ,  ଆମର୍‌ ବନ୍ଦେ କଚିମ୍‌ ଗୋଟେକ୍‌ ଆଚେ |
କଖାରୁ , ଖାକାରୁ , ଖାକାରୁକେ କାଟି କରି ଶାଗ୍‌ ରାନ୍ଦବାଯ୍‌ |
କଚାଡ଼ି , ଘସରି ଅଦରି ଗାଲା , ସେ କାଦ ଥାନେ ଘସ୍‌ରି ଅଦ୍ରି ଗାଲା |
କଞ୍ଚା , କାଚା , କାଚା ପନସ୍କେ ଶାଗ୍‌ ରାନ୍ଦି ଖାଇବାୟେ |
କଜଳପାତି , ଘଲିଆ ,  ଘଲିଆ ଚେଡ଼େ ଦେଖ୍ବାକେ କାଲିଆ ରେଇସି |
କଟୁରୀ , କଟରା , କଟ୍ରା ଥାନେ ଶାଗ୍‌ ତାଲ୍‌ କାଟ୍ବାର୍‌ ହେଇସି |
କଠିନ , ଆଣ୍ଟୁଆ ,  ପକ୍ନା ଆଣ୍ଠୁଆ ଆଚେ |
କଡ଼ରେ , ପାଲିକେ , ବାଟ୍‌ ପାଲିକେ ଆମର୍‌ ଘର୍‌ ଆଚେ |
କଢ , ତୁଣ୍ଡି ,  ଗୋଲାପ୍‌ ଫୁଲର୍‌ ତୁଣି ବଡ଼େ ସୁନ୍ଦର୍‌ ଆଚେ |
କଣ , କାଇଟା ,  ତୁଇ କାଇଟା କଯ୍ତରେଲୁସି୍‌ |
